text_id,text_corpus_ann,Unnamed: 6,text_corpus,one/ones,antecedent type,one-start character offset,one-end character offset,A,antecedent A-start character offset,antecedent A-end character offset,B,antecedent B-start character offset,antecedent B-end character offset,A-antecedent,B-antecedent,A-antecedent.1,B-antecedent.1,antecedent number,one-licensor category,URL,ft_is_ones,ft_is_nppl,ft_is_linguistic,wlen_A,wlen_B,dist_A_ao,dist_B_ao,ft_TAvsCF_dist,A_unigram,B_unigram,ft_uni_TACFlogdiff,human_text,human_acc,correct_human,text,target,expected_answer,gpt_answer,correct_GPT,recheck_GPT,llama_answer,correct_LLaMA,recheck_LLaMA,Gemma_LoRA_answer,correct_Gemma,recheck_Gemma,dataset,version,Item,rater_1,rater_2,rater_3,all_humans,null_count,acc_binary_all3,acc_binary_2,acc_human,is_parallem
1,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",non-parallelism,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",one,linguistic,275,277,war,238,240,police,218,223,True,False,local,non-local,npsg,verb,https://en.wikipedia.org/wiki/2009_shootings_of_Oakland_police_officers,0,0,1,3,6,35,52,-17,-4.25909233093261,-7.03320407867431,2.774111747741699,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",1.0,1.0,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",one,war,WAR,1.0,1.0,The citizens,0.0,0.0,you,0.0,0.0,gao,one_16,1,True,True,True,3.0,0,1,1,1.0,non-parallem
2,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",non-parallelism,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",ones,linguistic,135,138,officers,47,54,people,87,92,False,True,non-local,local,nppl,det,https://en.wikipedia.org/wiki/2009_shootings_of_Oakland_police_officers,1,1,1,8,6,81,43,-38,-7.03320407867431,-5.33795261383056,1.69525146484375,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",0.6666666666666666,1.0,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",ones,people,PEOPLE,1.0,1.0,The people,0.0,1.0,the people,0.0,1.0,gao,one_20,2,True,True,True,3.0,0,1,1,1.0,non-parallem
3,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",non-parallelism,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",ones,discourse,140,143,songwriter,64,73,lines,106,110,False,True,non-local,local,nppl,det,https://en.wikipedia.org/wiki/Add_Some_Music_to_Your_Day,1,1,0,10,5,67,30,-37,-6.31522417068481,-4.59300756454467,1.7222166061401367,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",1.0,1.0,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",ones,lines,LINES,1.0,1.0,lines,1.0,1.0,lines,1.0,1.0,gao,one_3,3,True,False,True,2.0,0,0,1,0.6666666666666666,non-parallem
4,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",non-parallelism,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",one,linguistic,253,255,record,220,225,fans,243,246,True,False,non-local,local,npsg,verb,https://en.wikipedia.org/wiki/Alias_(band),0,0,1,6,4,28,7,21,-5.56322574615478,-7.03320407867431,1.4699783325195312,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",1.0,1.0,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",one,record,RECORD,1.0,1.0,"fans
Explanation: The pronoun ""one"" refers to the fans because the sentence states ""if",0.0,0.0,record,1.0,1.0,gao,one_13,4,True,True,True,3.0,0,1,1,1.0,non-parallem
5,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",Contrasting,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",one,linguistic,115,117,review,27,32,reading,95,101,False,True,non-local,local,npsg,adj,https://en.wikipedia.org/wiki/Antony_Cooke,0,0,1,6,7,83,14,-69,-7.03320407867431,-7.03320407867431,0.0,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",0.5,1.0,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",one,reading,READING,1.0,1.0,Cooke's playing,0.0,0.0,reading,1.0,1.0,gao,one_5,5,False,False,True,1.0,0,0,0,0.3333333333333333,parallel
6,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",non-parallelism,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",one,discourse,356,358,film appearances,270,285,short,230,234,False,True,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Gaylord_Carter,0,0,0,16,5,71,122,51,-12.2392902374267,-5.70968389511108,6.529606342315674,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",0.3333333333333333,0.0,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",one,short,SHORT,1.0,1.0,The short,0.0,1.0,short,1.0,1.0,gao,one_13,6,True,True,True,3.0,0,1,1,1.0,non-parallem
7,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",non-parallelism,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",one,linguistic,250,252,enemy,197,201,target,158,163,True,False,local,non-local,npsg,adj,https://en.wikipedia.org/wiki/Assassination_of_Nikolay_Bobrikov,0,0,1,5,6,49,87,-38,-7.03320407867431,-7.03320407867431,0.0,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",1.0,1.0,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",one,enemy,ENEMY,1.0,1.0,Ellman,0.0,0.0,target,0.0,0.0,gao,one_6,7,True,True,True,3.0,0,1,1,1.0,non-parallem
8,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",non-parallelism,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",one,linguistic,236,238,excuse,168,173,driver,181,186,True,False,non-local,local,npsg,det,https://en.wikipedia.org/wiki/Ayrton_Senna,0,0,1,6,6,63,50,13,-7.03320407867431,-5.5954737663269,-1.4377303123474099,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",1.0,1.0,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",one,excuse,EXCUSE,1.0,1.0,The wall,0.0,0.0,that one,0.0,0.0,gao,one_5,8,True,True,True,3.0,0,1,1,1.0,non-parallem
9,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",non-parallelism,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",one,discourse,247,249,plan,199,202,scheme,119,124,True,False,local,non-local,npsg,verb,https://en.wikipedia.org/wiki/Boris_Badenov,0,0,0,4,6,45,123,-78,-4.79485654830932,-7.03320407867431,2.2383475303649902,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",1.0,1.0,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",one,plan,PLAN,1.0,1.0,Boris,0.0,0.0,plan,1.0,1.0,gao,one_7,9,True,True,,2.0,1,1,1,1.0,non-parallem
10,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: “The best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I’ve lost count of how many her lyrics use here... she’s always understandable because her music is, like any fine art, universally recognizable. I can’t wait for her next one!”",non-parallelism,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: “The best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I’ve lost count of how many her lyrics use here... she’s always understandable because her music is, like any fine art, universally recognizable. I can’t wait for her next one!”",one,discourse,655,657,art,598,600,album,67,71,False,True,local,non-local,npsg,adj,https://en.wikipedia.org/wiki/Giulia_Millanta,0,0,0,3,5,55,584,529,-4.28696966171264,-5.63031005859375,-1.3433403968811,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: “The best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I’ve lost count of how many her lyrics use here... she’s always understandable because her music is, like any fine art, universally recognizable. I can’t wait for her next one!”",1.0,1.0,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: “The best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I’ve lost count of how many her lyrics use here... she’s always understandable because her music is, like any fine art, universally recognizable. I can’t wait for her next one!”",one,album,ALBUM,1.0,1.0,Giulia Millanta's next one,0.0,0.0,her next one,0.0,0.0,gao,one_14,10,True,True,True,3.0,0,1,1,1.0,non-parallem
