text_id,text_corpus,Unnamed: 6,text,target,expected_answer,gpt_answer,correct_GPT,row_id,llama_answer,correct_LLaMA,Gemma_LoRA_answer,correct_Gemma,human_text,human_acc,Item_pred_rating,confounder_pred_rating,target_pred_rating,is_target_biased,is_parallem,diff_pred,is_target_preferred
1,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",non-parallelism,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",one,A,A,True,row_3,A,True,A,True,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",1.0,,,,1,non-parallem,,1
2,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",non-parallelism,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",ones,B,B,True,row_3,B,True,B,True,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",0.6666666666666666,2.0,6.0,6.2,0,non-parallem,0.20000000000000018,1
3,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",non-parallelism,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",ones,B,B,True,row_3,B,True,B,True,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",1.0,3.0,4.6,5.6,0,non-parallem,1.0,1
4,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",non-parallelism,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",one,A,A,True,row_3,A,True,A,True,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",1.0,,,,1,non-parallem,,1
5,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",Contrasting,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",one,B,B,True,row_3,A,False,B,True,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",0.5,5.0,5.8,4.6,0,parallel,-1.2000000000000002,0
6,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",non-parallelism,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",one,B,B,True,row_3,A,False,B,True,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",0.3333333333333333,,,,1,non-parallem,,1
7,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",non-parallelism,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",one,A,A,True,row_3,A,True,A,True,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",1.0,7.0,5.8,4.0,0,non-parallem,-1.7999999999999998,0
8,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",non-parallelism,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",one,A,A,True,row_3,A,True,A,True,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",1.0,8.0,5.8,7.0,0,non-parallem,1.2000000000000002,1
9,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",non-parallelism,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",one,A,A,True,row_3,A,True,A,True,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",1.0,9.0,2.2,3.8,0,non-parallem,1.5999999999999996,1
10,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: ‚ÄúThe best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I‚Äôve lost count of how many her lyrics use here... she‚Äôs always understandable because her music is, like any fine art, universally recognizable. I can‚Äôt wait for her next one!‚Äù",non-parallelism,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: “The best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I’ve lost count of how many her lyrics use here... she’s always understandable because her music is, like any fine art, universally recognizable. I can’t wait for her next one!”",one,B,B,True,row_3,A,False,B,True,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: “The best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I’ve lost count of how many her lyrics use here... she’s always understandable because her music is, like any fine art, universally recognizable. I can’t wait for her next one!”",1.0,10.0,3.4,6.8,0,non-parallem,3.4,1
