text_id,text_corpus_ann,Unnamed: 2,text_corpus,licensor,licensor-start character offset,licensor-end character offset,A,antecedent A-start character offset,antecedent A-end character offset,B,antecedent B-start character offset,antecedent B-end character offset,A-antecedent,B-antecedent,A-antecedent.1,B-antecedent.1,antecedent number,licensor-category,URL,ft_is_any,ft_is_nppl,wlen_A,wlen_B,dist_A_ao,dist_B_ao,ft_TAvsCF_dist,A_unigram,B_unigram,ft_uni_TACFlogdiff,human_text,human_acc,correct_human,text,target,expected_answer,gpt_answer,correct_GPT,recheck_GPT,llama_answer,correct_LLaMA,recheck_LLaMA,Gemma_LoRA_answer,correct_Gemma,recheck_Gemma,dataset,version,Item,rater_1,rater_2,rater_3,all_humans,null_count,acc_binary_all3,acc_binary_2,acc_human,is_parallem
1,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",Subset,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",fourth,88,93,locomotives,25,35,Clara Class,65,75,True,False,non-local,local,nppl,det,https://en.wikipedia.org/wiki/0-6-2,0,1,11,11,53,13,40,-7.03320407867431,-12.7887744903564,5.755570411682129,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",0.5,1.0,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",fourth,locomotives,THE FOURTH LOCOMOTIVE,0.0,0.0,The fourth,0.0,0.0,locomotives,1.0,1.0,gnpe,NPE_13,1,True,,True,2.0,1,1,1,1.0,parallel
2,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",Clausal or VP Coordination,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",some,120,123,beliefs,73,79,time,101,104,False,True,non-local,local,npsg,det,https://en.wikipedia.org/wiki/Shin_Megami_Tensei:_Devil_Survivor_2,0,0,7,4,41,16,-25,-7.03320407867431,-4.54129076004028,2.491913318634033,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",1.0,1.0,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",some,time,TIME,1.0,1.0,"I
Answer: I
Answer: I
Answer: I
Answer:",0.0,0.0,time,1.0,1.0,gnpe,NPE_21,2,True,True,True,3.0,0,1,1,1.0,parallel
3,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",non-parallelism,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",some,129,132,fathers,86,92,money,71,75,False,True,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Marty_Links,0,0,7,5,37,54,17,-7.03320407867431,-7.03320407867431,0.0,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",1.0,1.0,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",some,money,MAD MONEY,0.0,0.0,Marty Links' Emmy Lou,0.0,0.0,money,1.0,1.0,gnpe,NPE_14,3,True,True,True,3.0,0,1,1,1.0,non-parallem
4,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",non-parallelism,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",any,162,164,bologna,117,123,ketchup,103,109,True,False,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Idiots_Deluxe,1,0,7,7,39,53,-14,-7.03320407867431,-7.03320407867431,0.0,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",1.0,1.0,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",any,bologna,BOLOGNA AND WHIPPED CREAM,0.0,1.0,Moe,0.0,0.0,bologna and whipped cream,0.0,1.0,gnpe,NPE_12,4,True,True,True,3.0,0,1,1,1.0,non-parallem
5,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",non-parallelism,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",any,162,164,whipped cream,129,141,ketchup,103,109,True,False,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Idiots_Deluxe,1,0,13,7,21,53,-32,-14.0664081573486,-7.03320407867431,-7.03320407867431,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",1.0,1.0,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",any,whipped cream,BOLOGNA AND WHIPPED CREAM,0.0,1.0,Moe,0.0,0.0,bologna and whipped cream,0.0,1.0,gnpe,NPE_18_6participants,5,True,True,True,3.0,0,1,1,1.0,non-parallem
6,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",Contrasting,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",any,330,332,publishers,291,300,free copies of comics,248,268,False,True,local,non-local,nppl,det,https://en.wikipedia.org/wiki/Antony_Cooke,1,1,10,21,30,62,32,-7.03320407867431,-23.8995857238769,-16.8663816452026,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",1.0,1.0,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",any,free copies of comics,COMICS,0.0,0.0,Jack Kirby,0.0,0.0,copies of comics,0.0,0.0,gnpe,NPE_2,6,True,True,True,3.0,0,1,1,1.0,parallel
7,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",Repetition,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",some,192,195,night,154,158,money,144,148,False,True,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Billie_Holiday,0,0,5,5,34,44,10,-5.26961660385131,-7.03320407867431,-1.76358747482299,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",1.0,1.0,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",some,money,MONEY,1.0,1.0,Holiday,0.0,0.0,money,1.0,1.0,gnpe,NPE_8,7,True,True,True,3.0,0,1,1,1.0,parallel
8,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",non-parallelism,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",any,171,173,fresh towels,118,129,voice,145,149,True,False,non-local,local,nppl,det,https://en.wikipedia.org/wiki/Murder_of_Artemus_Ogletree,1,1,12,5,42,22,20,-13.0159702301025,-5.50513076782226,-7.51083946228027,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",1.0,1.0,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",any,fresh towels,FRESH TOWELS,1.0,1.0,She,0.0,0.0,towels,0.0,0.0,gnpe,NPE_16,8,True,True,True,3.0,0,1,1,1.0,non-parallem
9,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferré used to say: ""The only honor for an artist is not getting any"".",Contrasting,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferré used to say: ""The only honor for an artist is not getting any"".",any,227,229,honor,192,196,artist,205,210,True,False,non-local,local,npsg,det, https://en.wikipedia.org/wiki/Léo_Ferré,1,0,5,6,31,17,14,-7.03320407867431,-5.63031005859375,-1.40289402008056,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferré used to say: ""The only honor for an artist is not getting any"".",1.0,1.0,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferré used to say: ""The only honor for an artist is not getting any"".",any,honor,HONOR,1.0,1.0,Ferré,0.0,0.0,honor,1.0,1.0,gnpe,NPE_11,9,True,,True,2.0,1,1,1,1.0,parallel
10,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",non-parallelism,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",any,227,229,manufacturing industries,178,201,cartoonish energy,148,164,True,False,local,non-local,nppl,det,https://en.wikipedia.org/wiki/Gunduz_Kalic,1,1,24,17,26,63,-37,-14.0664081573486,-12.7887744903564,-1.27763366699218,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",0.3333333333333333,0.0,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",any,manufacturing industries,MANUFACTURING INDUSTRIES,1.0,1.0,Australia's forgotten people,0.0,0.0,manufacturing industries,1.0,1.0,gnpe,NPE_14,10,True,False,False,1.0,0,0,0,0.3333333333333333,non-parallem
11,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",Clausal or VP Coordination,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",any,196,198,company,152,158,ships ,167,171,False,True,non-local,local,nppl,det,https://en.wikipedia.org/wiki/Seaborne_Freight,1,1,7,5,38,25,-13,-5.63031005859375,-7.03320407867431,-1.40289402008056,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",1.0,1.0,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",any,ships,SHIPS,1.0,1.0,Seaborne Freight,0.0,0.0,ships,1.0,1.0,gnpe,NPE_6,11,True,True,True,3.0,0,1,1,1.0,parallel
12,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",Clausal or VP Coordination,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",any,181,183,engines,128,134,data,111,114,False,True,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Search_engine_privacy,1,0,7,4,47,67,20,-7.03320407867431,-5.11776065826416,1.915443420410156,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",1.0,1.0,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",any,data,DATA,1.0,1.0,Google or Yahoo,0.0,0.0,data,1.0,1.0,gnpe,NPE_5,12,True,False,False,1.0,0,0,0,0.3333333333333333,parallel
13,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",Clausal or VP Coordination,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",any,160,162,printing,135,142,title,104,117,False,True,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Second_Doctor_comic_stories,1,0,8,5,18,43,25,-7.03320407867431,-5.63031005859375,1.4028940200805664,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",1.0,1.0,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",any,title,OFFICIAL TITLE,0.0,0.0,John and Gillian,0.0,0.0,title,1.0,1.0,gnpe,NPE_11,13,True,,True,2.0,1,1,1,1.0,parallel
14,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",non-parallelism,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",any,171,173,file,157,160,data,90,93,False,True,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Secure_communication,1,0,4,4,11,78,67,-7.03320407867431,-5.11776065826416,1.915443420410156,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",1.0,1.0,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",any,data,DATA,1.0,1.0,the file,0.0,0.0,data,1.0,1.0,gnpe,NPE_8,14,True,True,True,3.0,0,1,1,1.0,non-parallem
15,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Flávia's money, Daniel & Liliana didn't receive any.",Contrasting,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Flávia's money, Daniel & Liliana didn't receive any.",any,208,210,money,169,173,group,132,136,True,False,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Secret_Story_5_(Portuguese_season),1,0,5,5,35,72,-37,-7.03320407867431,-5.07532930374145,-1.95787477493286,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Flávia's money, Daniel & Liliana didn't receive any.",1.0,1.0,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Flávia's money, Daniel & Liliana didn't receive any.",any,money,FLÁVIA'S MONEY,0.0,0.0,Daniel & Liliana,0.0,0.0,money,1.0,1.0,gnpe,NPE_9,15,,True,True,2.0,1,1,1,1.0,parallel
16,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",Contrasting,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",any,153,155,meaning,105,111,sentence,90,97,True,False,local,non-local,npsg,det,https://en.wikipedia.org/wiki/Secondary_reference,1,0,7,8,42,56,-14,-5.89739322662353,-7.03320407867431,1.1358108520507812,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",1.0,1.0,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",any,meaning,MEANING,1.0,1.0,B,0.0,0.0,meaning,1.0,1.0,gnpe,NPE_12,16,True,True,True,3.0,0,1,1,1.0,parallel
17,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",non-parallelism,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",any,225,227,cryptic advice,140,153,Plumber,188,194,True,False,non-local,local,npsg,det,https://en.wikipedia.org/wiki/Ratchet_&_Clank,1,0,14,7,72,31,41,-14.0664081573486,-7.03320407867431,-7.03320407867431,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",1.0,1.0,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",any,cryptic advice,CRYPTIC ADVICE,1.0,1.0,Nevo,0.0,0.0,advice,0.0,0.0,gnpe,NPE_22,17,True,True,True,3.0,0,1,1,1.0,non-parallem
18,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",Contrasting,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",his,88,90,family income,166,178,earning power ,203,125,False,True,non-local,local,npsg,det,https://en.wikipedia.org/wiki/Double_burden,0,0,13,13,-90,-37,53,-11.9536399841308,-12.0936336517333,-0.139993667602539,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",0.25,0.0,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",his,earning power,THE MAN,0.0,0.0,man,0.0,0.0,man,0.0,0.0,gnpe,NPE_5,18,False,False,False,0.0,0,0,0,0.0,parallel
