text_id,text_corpus,Unnamed: 2,text,target,expected_answer,gpt_answer,correct_GPT,row_id,llama_answer,correct_LLaMA,Gemma_LoRA_answer,correct_Gemma,human_text,human_acc,Item_pred_rating,confounder_pred_rating,target_pred_rating,is_target_biased,is_parallem,diff_pred,is_target_preferred
1,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",Subset,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",fourth,A,A,True,row_7,A,True,A,True,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",0.5,1.0,2.833333333333333,3.75,0,parallel,0.916666666666667,1
2,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",Clausal or VP Coordination,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",some,B,B,True,row_7,A,False,B,True,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",1.0,2.0,3.5,6.166666666666667,0,parallel,2.666666666666667,1
3,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",non-parallelism,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",some,B,B,True,row_7,B,True,B,True,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",1.0,,,,1,non-parallem,,1
4,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream‚Äìand we haven't got any!""",non-parallelism,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",any,A,A,True,row_7,A,True,NEITHER,False,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",1.0,4.0,3.0,5.0,0,non-parallem,2.0,1
5,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream‚Äìand we haven't got any!""",non-parallelism,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",any,A,A,True,row_7,A,True,A,True,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",1.0,5.0,4.75,5.166666666666667,0,non-parallem,0.41666666666666696,1
6,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",Contrasting,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",any,B,B,True,row_7,A,False,A,False,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",1.0,,,,1,parallel,,1
7,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",Repetition,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",some,B,B,True,row_7,B,True,B,True,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",1.0,,,,1,parallel,,1
8,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",non-parallelism,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",any,A,A,True,row_7,A,True,A,True,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",1.0,,,,1,non-parallem,,1
9,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferr√© used to say: ""The only honor for an artist is not getting any"".",Contrasting,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferré used to say: ""The only honor for an artist is not getting any"".",any,A,A,True,row_7,A,True,A,True,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferré used to say: ""The only honor for an artist is not getting any"".",1.0,,,,1,parallel,,1
10,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",non-parallelism,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",any,A,A,True,row_7,A,True,A,True,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",0.3333333333333333,10.0,4.666666666666667,6.5,0,non-parallem,1.833333333333333,1
