text_id,text,target,expected_answer,gpt_answer,correct
1,Focusing on E* Applications leads to new requirements as well as to new technologies or extensions of existing ones.,ones,TECHNOLOGIES,TECHNOLOGIES,True
2,"As new components are introduced into the system, an upgrade of existing services, even the introduction of new ones not previously considered, may be needed as well.",ones,SERVICES,SERVICES,True
3,"Using two benchmarks representative of dynamic web sites, measurements of our prototype show that it can increase end-to-end throughput by as much as twofold for non-data intensive applications and by as much as tenfold for data intensive ones.",ones,APPLICATIONS,DATA INTENSIVE APPLICATIONS,False
4,This shift follows the noted global decline of social movements based around redistribution of material resources and the rise of new ones demanding standing premised on cultural difference.,ones,SOCIAL MOVEMENTS,SOCIAL MOVEMENTS,True
5,"Tourgoers will be in 'conversation' with Black Bottom residents through oral histories, images, video and everyday neighborhood narratives from the ones who knew it best – the neighbors.",ones,RESIDENTS,NEIGHBORS,False
6,"Referring to a reconstruction of Yosemite Park's Tioga road, for example, Ansel Adams complained that, where the old road had ""tiptoed across the terrain,"" the new one ""blasts and gouges the landscape.""",one,ROAD,ROAD,True
7,"For the quantitative analysis, the Top-30 matches from each result list were compared using Kendall Tau, whereas for the qualitative one, we employed Mean Average Precision for the Top-10 results.",one,ANALYSIS,ANALYSIS,True
8,"Though DTC sightholders list will be official by March, around five to 10 Indian companies have been excluded with a couple of new ones added in the 2008 list.",ones,INDIAN COMPANIES,COMPANIES,False
9,"Hi everyone today i bought a new hdd for my laptop and when i installed it my laptop won't turn on, tried putting in the old one but same problem.",one,HDD,HDD,True
10,An effective heuristic to adopt is to prefetch additional pages only when the cache miss has been caused by a request for a page different from the first one.,one,PAGE,PAGE,True
11,"For example, the terminology for publications applies to data instances beyond the particular ones stored at the node.",ones,DATA INSTANCES,PUBLICATIONS,False
12,"And as if out of a desire to prove their two-faced backpedaling, they stopped calling the articles ""Qur'an Contradictions"" (which often ended with the Koran's challenge to find a contradiction in it, obviously meant for ironic purposes and as an indication that they were seriously trying to show real errors) and started calling the new ones ""Qur'an Difficulties"".",ones,ARTICLES,ARTICLES,True
13,"All machines provide predictions for each user request in a session, the evolutionary algorithm is charged to evolve and select good ones while destroying the others.",ones,PREDICTIONS,PREDICTIONS,True
14,"While the term ""service-oriented architecture"" is, to our knowledge, a somewhat recent one, related technologies have been the topic of extensive research since at least the early 1970's.",one,TERM,"TERM ""SERVICE-ORIENTED ARCHITECTURE""",False
15,"Our experimental results show that, figures computed by our metrics are, in about an order of magnitude, smaller than the respective ones of GKM, an indication that our techniques are more elaborate.",ones,FIGURES,FIGURES,True
16,"For years, a burgeoning civil society and a disaffected radical fringe had been dreaming of change – the one of the rule of law, the other of socialist revolution.",one,CIVIL SOCIETY,RULE OF LAW,False
17,"In principle the variable names could conflict, so it was constantly necessary to consider this case and deal with it by renaming a bound variable to a fresh one.",one,VARIABLE,VARIABLE,True
18,"They have changed the roofs that were in good shape and of high quality, and they used the money for smashing down old tiles and replacing them with industrial ones.",ones,TILES,INDUSTRIAL TILES,False
19,Among other things on professor Eric Bittner's wish list is to prepare a two-dimensional optical analog of a black hole on a laser table and study some of its properties without actually having to go to outer space to find a real one.,one,BLACK HOLE,BLACK HOLE,True
20,"This implementation was intended to be fairly complete however it was understood that vendors who intended to commercialize it would dispose of portions of it, often fairly substantial ones.",ones,PORTIONS,PORTIONS,True
21,"This directory contains a lib, server, test and include directory for two extensions: a useless trapezoid filling extensioin called ""zoid"" and a rather interesting one for implementing bezier curve fitting called ""bezier"".",one,EXTENSION,EXTENSION,True
22,The answer also demonstrates evidence of staying in the job even though this was a regular occurrence and not a pleasant one.,one,OCCURRENCE,OCCURRENCE,True
23,"Before Hansard, the records of debates in the Commons and Lords were personal ones taken by members or visitors to Parliament.",ones,RECORDS,RECORDS,True
24,"A vision of DNA encoded library and archival information is a fascinating one but although there are clear advantages to the use of DNA not least in its compact form, the real question to ask is how did it come to be?",one,VISION,VISION OF DNA ENCODED LIBRARY AND ARCHIVAL INFORMATION,False
