text_id,text,target,expected_answer,llama_answer,correct
wsc-1,The city councilmen refused the demonstrators a permit because [target]  feared violence.,[target],The city councilmen,The city councilmen,True
wsc-2,The city councilmen refused the demonstrators a permit because [target]  advocated violence.,[target],The demonstrators,The demonstrators,True
wsc-3,The trophy doesn't fit into the brown suitcase because  [target]  is too large.,[target],the trophy,The trophy,True
wsc-4,The trophy doesn't fit into the brown suitcase because  [target]  is too small.,[target],the suitcase,The trophy,False
wsc-5,Joan made sure to thank Susan for all the help  [target]  had recieved.,[target],Joan,"help
Explanation: The pronoun ""[target]"" is used to refer to the noun phrase ""all",False
wsc-6,Joan made sure to thank Susan for all the help  [target]  had given.,[target],Susan,Susan,True
wsc-7,"Paul tried to call George on the phone, but  [target]  wasn't successful.",[target],Paul,George,False
wsc-8,"Paul tried to call George on the phone, but  [target]  wasn't available.",[target],George,George,True
wsc-9,"The lawyer asked the witness a question, but  [target]  was reluctant to repeat it.",[target],the lawyer,The witness,False
wsc-10,"The lawyer asked the witness a question, but  [target]  was reluctant to answer it.",[target],the witness,The witness,True
wsc-11,The delivery truck zoomed by the school bus because  [target]  was going so fast.,[target],the delivery truck,The delivery truck,True
wsc-12,The delivery truck zoomed by the school bus because  [target]  was going so slow.,[target],the school bus,The school bus,True
wsc-13,Frank felt vindicated when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],Frank,Bill,False
wsc-14,Frank felt crushed when his longtime rival Bill revealed that  [target]  was the winner of the competition.,[target],Bill,Bill,True
wsc-15,The man couldn't lift his son because  [target]  was so weak.,[target],The man,The son,False
wsc-16,The man couldn't lift his son because  [target]  was so heavy.,[target],The son,The son,True
wsc-17,The large ball crashed right through the table because  [target]  was made of steel.,[target],The large ball,The table,False
wsc-18,The large ball crashed right through the table because  [target]  was made of styrofoam.,[target],The table,The table,True
wsc-19,John couldn't see the stage with Billy in front of him because  [target]  is so short.,[target],John,Billy,False
wsc-20,John couldn't see the stage with Billy in front of him because  [target]  is so tall.,[target],Billy,Billy,True
wsc-21,Tom threw his schoolbag down to Ray after  [target]  reached the top of the stairs.,[target],Tom,Ray,False
wsc-22,Tom threw his schoolbag down to Ray after  [target]  reached the bottom of the stairs.,[target],Ray,"Ray
Explanation: The pronoun ""[target]"" refers to Ray because it is the one who is",False
wsc-23,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a good start.",[target],Sue,Sally,False
wsc-24,"Although they ran at about the same speed, Sue beat Sally because  [target]  had such a bad start.",[target],Sally,Sally,True
wsc-25,The sculpture rolled off the shelf because  [target]  wasn't anchored.,[target],The sculpture,The shelf,False
wsc-26,The sculpture rolled off the shelf because  [target]  wasn't level.,[target],The shelf,The shelf,True
wsc-27,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one below it.,[target],Sam's drawing,Tina's drawing,False
wsc-28,Sam's drawing was hung just above Tina's and  [target]  did look much better with another one above it.,[target],Tina's drawing,Tina's drawing,True
wsc-29,Anna did a lot better than her good friend Lucy on the test because  [target]  had studied so hard.,[target],Anna,"Anna
Explanation: The pronoun ""[target]"" refers to the person who is being compared to Lucy",False
wsc-30,Anna did a lot worse than her good friend Lucy on the test because  [target]  had studied so hard.,[target],Lucy,Anna,False
wsc-31,The firemen arrived after the police because  [target]  were coming from so far away.,[target],The firemen,The firemen,True
wsc-32,The firemen arrived before the police because  [target]  were coming from so far away.,[target],The police,The firemen,False
wsc-33,Frank was upset with Tom because the toaster  [target]  had bought from him didn't work.,[target],Frank,Tom,False
wsc-34,Frank was upset with Tom because the toaster  [target]  had sold him didn't work.,[target],Tom,Tom,True
wsc-35,Jim yelled at Kevin because  [target]  was so upset.,[target],Jim,Kevin,False
wsc-36,Jim comforted Kevin because  [target]  was so upset.,[target],Kevin,Kevin,True
wsc-37,"The sack of potatoes had been placed above the bag of flour, so  [target]  had to be moved first.",[target],The sack of potatoes,The sack of potatoes,True
wsc-38,"The sack of potatoes had been placed below the bag of flour, so  [target]  had to be moved first.",[target],The bag of flour,The sack of potatoes,False
wsc-39,Pete envies Martin although  [target]  is very successful.,[target],Pete,Martin,False
wsc-40,Pete envies Martin because  [target]  is very successful.,[target],Martin,"Martin
Explanation: The pronoun ""[target]"" refers to the noun phrase ""Martin"" because it",False
wsc-41,"The older students were bullying the younger ones, so we punished  [target] .",[target],The older students,The younger ones,False
wsc-42,"The older students were bullying the younger ones, so we rescued  [target] .",[target],The younger students,The younger ones,False
wsc-43,I poured water from the bottle into the cup until  [target]  was empty.,[target],the bottle,"the cup
Explanation: The pronoun ""[target]"" refers to the noun phrase ""the cup""",False
wsc-44,I poured water from the bottle into the cup until  [target]  was full.,[target],the cup,"the cup
Explanation: The pronoun ""[target]"" refers to the noun phrase ""the cup""",False
wsc-45,Susan knows all about Ann's personal problems because  [target]  is nosy.,[target],Susan,Ann,False
wsc-46,Susan knows all about Ann's personal problems because  [target]  is indiscreet.,[target],Ann,Ann,True
wsc-47,Sid explained his theory to Mark but  [target]  couldn't convince him.,[target],Sid,Mark,False
wsc-48,Sid explained his theory to Mark but  [target]  couldn't understand him.,[target],Mark,Mark,True
wsc-49,"Susan knew that Ann's son had been in a car accident, so  [target]  told her about it.",[target],Susan,Ann's son,False
wsc-50,"Susan knew that Ann's son had been in a car accident, because  [target]  told her about it.",[target],Ann,Ann's son,False
wsc-51,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years younger.",[target],Joe,Joe,True
wsc-52,"Joe's uncle can still beat him at tennis, even though  [target]  is 30 years older.",[target],Joe's uncle,Joe,False
wsc-53,The painting in Mark's living room shows an oak tree.  [target]  is to the right of the bookcase.,[target],The painting,bookcase,False
wsc-54,The painting in Mark's living room shows an oak tree.  [target]  is to the right of a house.,[target],The oak tree,The oak tree,True
wsc-55,There is a gap in the wall. You can see the garden through  [target] .,[target],The gap,the gap,True
wsc-56,There is a gap in the wall. You can see the garden behind  [target] .,[target],The wall,the wall,True
wsc-57,The drain is clogged with hair.  [target]  has to be cleaned.,[target],The drain,The drain,True
wsc-58,The drain is clogged with hair.  [target]  has to be removed.,[target],The hair,The drain,False
wsc-59,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was short, so it worked out.",[target],The meeting,The meeting,True
wsc-60,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily,  [target]  was delayed, so it worked out.",[target],The train,The train,True
wsc-61,"There is a pillar between me and the stage, and I can't see around  [target] .",[target],The pillar,"stage
The pronoun ""[target]"" refers to the stage",False
wsc-62,"There is a pillar between me and the stage, and I can't see  [target] .",[target],The stage,the target,False
wsc-63,"They broadcast an announcement, but a subway came into the station and I couldn't hear  [target] .",[target],The announcement,"""it""",False
wsc-64,"They broadcast an announcement, but a subway came into the station and I couldn't hear over  [target] .",[target],The subway,the noise,False
wsc-65,"In the middle of the outdoor concert, the rain started falling, but  [target]  continued until 10.",[target],The concert,the band,False
wsc-66,"In the middle of the outdoor concert, the rain started falling, and  [target]  continued until 10.",[target],The rain,"the band
Explanation: The pronoun ""[target]"" refers to the band, as indicated by the",False
wsc-67,"I used an old rag to clean the knife, and then I put  [target]  in the trash.",[target],The rag,the knife,False
wsc-68,"I used an old rag to clean the knife, and then I put  [target]  in the drawer.",[target],The knife,the knife,True
wsc-69,"Ann asked Mary what time the library closes, because  [target]  had forgotten.",[target],Ann,Mary,False
wsc-70,"Ann asked Mary what time the library closes, but  [target]  had forgotten.",[target],Mary,Mary,True
wsc-71,I took the water bottle out of the backpack so that  [target]  would be handy.,[target],The water bottle,the water bottle,True
wsc-72,I took the water bottle out of the backpack so that  [target]  would be lighter.,[target],The backpack,"the backpack
Explanation: The pronoun ""[target]"" refers to the noun phrase ""the backpack""",False
wsc-73,I couldn't put the pot on the shelf because  [target]  was too tall.,[target],The pot,the pot,True
wsc-74,I couldn't put the pot on the shelf because  [target]  was too high.,[target],The shelf,the shelf,True
wsc-75,I'm sure that my map will show this building;  [target]  is very good.,[target],The map,the building,False
wsc-76,I'm sure that my map will show this building;  [target]  is very famous.,[target],The building,The building,True
wsc-77,Bob paid for Charlie's college education.  [target]  is very generous.,[target],Bob,Charlie,False
wsc-78,Bob paid for Charlie's college education.  [target]  is very grateful.,[target],Charlie,Charlie,True
wsc-79,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very hurt.",[target],Bob,Charlie,False
wsc-80,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened.  [target]  is very ungrateful.",[target],Charlie,Charlie,True
wsc-81,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have won.",[target],Bob,Bob,True
wsc-82,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,  [target]  would have lost.",[target],Adam,Bob,False
wsc-83,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,  [target]  would be gone by this time.",[target],Adam,Adam,True
wsc-84,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,  [target]  would be here by this time.",[target],Bob,Adam,False
wsc-85,"If the con artist has succeeded in fooling Sam,  [target]  would have gotten a lot of money.",[target],The con artist,Sam,False
