Model,Dataset,Total,Correct,Accuracy
zero/GPT_zero,one_new_open_ended.csv,150,100,66.67%
zero/GPT_zero,npe_new_open_ended.csv,150,80,53.33%
zero/GPT_zero,gap-test.csv,1773,1530,86.29%
zero/GPT_zero,wsc.csv,273,171,62.64%
,,,,
zero/Gemma_zero,one_new_open_ended.csv,150,90,60.0%
zero/Gemma_zero,npe_new_open_ended.csv,150,87,58.0%
zero/Gemma_zero,gap-test.csv,1773,1200,67.68%
zero/Gemma_zero,wsc.csv,273,104,38.1%
,,,,
zero/LLaMA_zero,one_new_open_ended.csv,150,32,21.33%
zero/LLaMA_zero,npe_new_open_ended.csv,150,43,28.67%
zero/LLaMA_zero,gap-test.csv,1773,692,39.03%
zero/LLaMA_zero,wsc.csv,273,101,37.0%
,,,,
