Model,Dataset,Total,Correct,Accuracy
train_gap/Gemma_gap,gap-test_one_300.csv,2300,1933,84.04%
train_gap/Gemma_gap,gap-test_one_distance.csv,2154,1810,84.03%
train_gap/Gemma_gap,gap-test_one_number.csv,2143,1788,83.43%
train_gap/Gemma_gap,gap-test_npe_300.csv,2300,1934,84.09%
train_gap/Gemma_gap,gap-test_npe_distance.csv,2164,1821,84.15%
train_gap/Gemma_gap,gap-test.csv,2000,1700,85.0%
train_gap/Gemma_gap,wsc.csv,273,216,79.12%
,,,,
train_gap/LLaMA_gap,gap-test_one_300.csv,2300,1822,79.22%
train_gap/LLaMA_gap,gap-test_one_distance.csv,2154,1725,80.08%
train_gap/LLaMA_gap,gap-test_one_number.csv,2143,1697,79.19%
train_gap/LLaMA_gap,gap-test_npe_300.csv,2300,1852,80.52%
train_gap/LLaMA_gap,gap-test_npe_distance.csv,2164,1726,79.76%
train_gap/LLaMA_gap,gap-test.csv,2000,1600,80.0%
train_gap/LLaMA_gap,wsc.csv,273,153,56.04%
,,,,
train_gap/GPT_gap,gap-test_one_300.csv,2300,2071,90.04%
train_gap/GPT_gap,gap-test_one_distance.csv,2154,1939,90.02%
train_gap/GPT_gap,gap-test_one_number.csv,2143,1917,89.45%
train_gap/GPT_gap,gap-test_npe_300.csv,2300,2072,90.09%
train_gap/GPT_gap,gap-test_npe_distance.csv,2164,1945,89.88%
train_gap/GPT_gap,gap-test.csv,2000,1821,91.05%
train_gap/GPT_gap,wsc.csv,273,158,57.88%
,,,,
