# 1. Results reception time.,# 2. MD5 hash of participant's IP address.,# 3. Controller name.,# 4. Order number of item.,# 5. Inner element number.,# 6. Label.,# 7. Latin Square Group.,# 8. PennElementType.,# 9. PennElementName.,# 10. Parameter.,# 11. Value.,# 12. EventTime.,# 13. Comments.,# 14. Sentence.,# 15. Option1.,# 16. Option2.,# 17. Question.,# 18. Comments.,time,browser,designnumber,version,response,Item,most_similar_sent,similarity_ratio,ID,text,licensor,licensor-start character offset,licensor-end character offset,A,antecedent A-start character offset,antecedent A-end character offset,B,antecedent B-start character offset,antecedent B-end character offset,A-antecedent,B-antecedent,A-antecedent.1,B-antecedent.1,antecedent number,licensor-category,URL,correct_answer,wrong_answer,accuracy_check,accuracy
1741868747,bd26ebc018fd39f10159a8a0581e1785,PennController,21,0,a,NULL,Scale,answer,Choice,2,1741868189229,a,Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News%2C most non-denominational churches have services that heavily reflect evangelical practices%2C while very few (about 5%) reflect practices of black churches. Thousands of non-denominational%2C Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated%2C multi-racial congregations and staff%2C regardless of their location in the North or the South. Some of the largest churches in the country%2C whose services are regularly broadcast on national television networks%2C belong to this category.,practices,services,What is missing after 'few'?,NULL," Thu, 13 Mar 2025 12:25:47 GMT","# USER AGENT: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",# Design number was non-random = 0,NPE_22,services,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",2.979381443298969,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",few,229,231,services,165,172,practices,207,215,True,False,non-local,local,nppl,quan,https://en.wikipedia.org/wiki/Racial_segregation_of_churches_in_the_United_States,services,practices,0,1
1741869303,2347620adc6f96a80f33220e122a28cc,PennController,21,0,a,NULL,Scale,answer,Choice,2,1741869035844,a,Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News%2C most non-denominational churches have services that heavily reflect evangelical practices%2C while very few (about 5%) reflect practices of black churches. Thousands of non-denominational%2C Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated%2C multi-racial congregations and staff%2C regardless of their location in the North or the South. Some of the largest churches in the country%2C whose services are regularly broadcast on national television networks%2C belong to this category.,practices,services,What is missing after 'few'?,NULL," Thu, 13 Mar 2025 12:35:03 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",# Design number was non-random = 1,NPE_22,services,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",2.979381443298969,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",few,229,231,services,165,172,practices,207,215,True,False,non-local,local,nppl,quan,https://en.wikipedia.org/wiki/Racial_segregation_of_churches_in_the_United_States,services,practices,0,1
1741869493,8582d96f70683a22864187cfad47ce87,PennController,21,0,a,NULL,Scale,answer,Choice,2,1741869195640,a,Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News%2C most non-denominational churches have services that heavily reflect evangelical practices%2C while very few (about 5%) reflect practices of black churches. Thousands of non-denominational%2C Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated%2C multi-racial congregations and staff%2C regardless of their location in the North or the South. Some of the largest churches in the country%2C whose services are regularly broadcast on national television networks%2C belong to this category.,practices,services,What is missing after 'few'?,NULL," Thu, 13 Mar 2025 12:38:13 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",# Design number was non-random = 2,NPE_22,services,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",2.979381443298969,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",few,229,231,services,165,172,practices,207,215,True,False,non-local,local,nppl,quan,https://en.wikipedia.org/wiki/Racial_segregation_of_churches_in_the_United_States,services,practices,0,1
1741871256,3364546a888a0727a934afe479e50c98,PennController,21,0,a,NULL,Scale,answer,Choice,2,1741870593600,a,Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News%2C most non-denominational churches have services that heavily reflect evangelical practices%2C while very few (about 5%) reflect practices of black churches. Thousands of non-denominational%2C Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated%2C multi-racial congregations and staff%2C regardless of their location in the North or the South. Some of the largest churches in the country%2C whose services are regularly broadcast on national television networks%2C belong to this category.,practices,services,What is missing after 'few'?,NULL," Thu, 13 Mar 2025 13:07:36 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",# Design number was non-random = 3,NPE_22,services,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",2.979381443298969,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",few,229,231,services,165,172,practices,207,215,True,False,non-local,local,nppl,quan,https://en.wikipedia.org/wiki/Racial_segregation_of_churches_in_the_United_States,services,practices,0,1
1741872138,7821bc2d55a27cefd5deb04e85cc2d32,PennController,21,0,a,NULL,Scale,answer,Choice,2,1741871814468,a,Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News%2C most non-denominational churches have services that heavily reflect evangelical practices%2C while very few (about 5%) reflect practices of black churches. Thousands of non-denominational%2C Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated%2C multi-racial congregations and staff%2C regardless of their location in the North or the South. Some of the largest churches in the country%2C whose services are regularly broadcast on national television networks%2C belong to this category.,practices,services,What is missing after 'few'?,NULL," Thu, 13 Mar 2025 13:22:18 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",# Design number was non-random = 5,NPE_22,services,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",2.979381443298969,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",few,229,231,services,165,172,practices,207,215,True,False,non-local,local,nppl,quan,https://en.wikipedia.org/wiki/Racial_segregation_of_churches_in_the_United_States,services,practices,0,1
1741872584,294f2d36ed6df9c9fd3e235dfd25d9de,PennController,21,0,a,NULL,Scale,answer,Choice,2,1741871134329,a,Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News%2C most non-denominational churches have services that heavily reflect evangelical practices%2C while very few (about 5%) reflect practices of black churches. Thousands of non-denominational%2C Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated%2C multi-racial congregations and staff%2C regardless of their location in the North or the South. Some of the largest churches in the country%2C whose services are regularly broadcast on national television networks%2C belong to this category.,practices,services,What is missing after 'few'?,NULL," Thu, 13 Mar 2025 13:29:44 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",# Design number was non-random = 4,NPE_22,services,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",2.979381443298969,367,"Non-denominational churches originated during the mid-20th century in America. According to Michael De Groote of Deseret News, most non-denominational churches have services that heavily reflect evangelical practices, while very few (about 5%) reflect practices of black churches. Thousands of non-denominational, Protestant congregations have emerged in recent decades. Many of these in large metropolitan areas have highly integrated, multi-racial congregations and staff, regardless of their location in the North or the South. Some of the largest churches in the country, whose services are regularly broadcast on national television networks, belong to this category.",few,229,231,services,165,172,practices,207,215,True,False,non-local,local,nppl,quan,https://en.wikipedia.org/wiki/Racial_segregation_of_churches_in_the_United_States,services,practices,0,1
1741868747,bd26ebc018fd39f10159a8a0581e1785,PennController,16,0,a,NULL,Scale,answer,Choice,2,1741868249559,a,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however%2C the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve%2C such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England%2C ""figgy pudding"" referred to a raisin or plum pudding%2C not necessarily one containing figs. In the famous version of the song%2C the singer demands figgy pudding from the audience%2C threatening to not ""go until we get some"".",audience,figgy pudding,What is missing after 'some'?,NULL," Thu, 13 Mar 2025 12:25:47 GMT","# USER AGENT: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",# Design number was non-random = 0,NPE_22,figgy pudding,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",2.817896389324961,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",some,625,628,figgy pudding,309,321,audience,579,586,True,False,non-local,local,npsg,det,https://en.wikipedia.org/wiki/We_Wish_You_a_Merry_Christmas,figgy pudding,audience,0,1
1741869303,2347620adc6f96a80f33220e122a28cc,PennController,16,0,a,NULL,Scale,answer,Choice,2,1741868525118,a,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however%2C the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve%2C such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England%2C ""figgy pudding"" referred to a raisin or plum pudding%2C not necessarily one containing figs. In the famous version of the song%2C the singer demands figgy pudding from the audience%2C threatening to not ""go until we get some"".",audience,figgy pudding,What is missing after 'some'?,NULL," Thu, 13 Mar 2025 12:35:03 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",# Design number was non-random = 1,NPE_22,figgy pudding,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",2.817896389324961,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",some,625,628,figgy pudding,309,321,audience,579,586,True,False,non-local,local,npsg,det,https://en.wikipedia.org/wiki/We_Wish_You_a_Merry_Christmas,figgy pudding,audience,0,1
1741869493,8582d96f70683a22864187cfad47ce87,PennController,16,0,a,NULL,Scale,answer,Choice,2,1741869453905,a,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however%2C the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve%2C such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England%2C ""figgy pudding"" referred to a raisin or plum pudding%2C not necessarily one containing figs. In the famous version of the song%2C the singer demands figgy pudding from the audience%2C threatening to not ""go until we get some"".",audience,figgy pudding,What is missing after 'some'?,NULL," Thu, 13 Mar 2025 12:38:13 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",# Design number was non-random = 2,NPE_22,figgy pudding,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",2.817896389324961,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",some,625,628,figgy pudding,309,321,audience,579,586,True,False,non-local,local,npsg,det,https://en.wikipedia.org/wiki/We_Wish_You_a_Merry_Christmas,figgy pudding,audience,0,1
1741871256,3364546a888a0727a934afe479e50c98,PennController,16,0,a,NULL,Scale,answer,Choice,1,1741871053389,a,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however%2C the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve%2C such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England%2C ""figgy pudding"" referred to a raisin or plum pudding%2C not necessarily one containing figs. In the famous version of the song%2C the singer demands figgy pudding from the audience%2C threatening to not ""go until we get some"".",audience,figgy pudding,What is missing after 'some'?,NULL," Thu, 13 Mar 2025 13:07:36 GMT","# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",# Design number was non-random = 3,NPE_22,audience,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",2.817896389324961,25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",some,625,628,figgy pudding,309,321,audience,579,586,True,False,non-local,local,npsg,det,https://en.wikipedia.org/wiki/We_Wish_You_a_Merry_Christmas,figgy pudding,audience,0,0
