text_id,human_text,human_acc
1,"The first three of these locomotives were later described as the Clara Class, while the fourth was included in this Class by some and included in the subsequent Scotia Class by others.",0.5
2,"That's why I want to find a different path, instead of fighting over our beliefs... There's not much time, but there is some! And I can't give up now...!",1.0
3,"Marty Links' Emmy Lou (November 14, 1966): ""I suppose it's called 'mad money' because fathers always get so mad when you ask for some!""",1.0
4,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",1.0
5,"Moe then pours honey and ketchup on bread, declaring ""If there's anything I like better than honey and ketchup, it's bologna and whipped cream–and we haven't got any!""",1.0
6,"The brothers turned to Jack Kirby. Steve Schanes recalled, ""I figured if you want to get people's attention with a new comic book, who better to do it with than the King of Comics, Jack Kirby! We were already friends with Jack. We used to send him free copies of comics he'd drawn for other publishers because they never sent him any!",1.0
7,"Fagan began borrowing large amounts from Holiday to support the restaurant. Holiday obliged but soon fell on hard times herself. ""I needed some money one night and I knew Mom was sure to have some"", she said.",1.0
8,"A voice she described as loud and deep, probably not Ogletree's, asked who it was. She responded that she had brought fresh towels, to which the voice said ""We don't need any"".",1.0
9,"He refused being guest of honor in the Victoires de la musique (Music's Victories), annual French award ceremony recognizing the best musical artists of the year. Ferré used to say: ""The only honor for an artist is not getting any"".",1.0
10,"A subsequent production of this play was described by one critic as 'a two-fingered riposte from Australia's forgotten people delivered with enough cartoonish energy to fuel our manufacturing industries for a year, if we had any'.",0.3333333333333333
11,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",1.0
12,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",1.0
13,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",1.0
14,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",1.0
15,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Flávia's money, Daniel & Liliana didn't receive any.",1.0
16,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",1.0
17,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",1.0
18,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",0.25
19,"Some found comfort in religion; Sherard quotes one as saying: ""when I get to heaven I shall get my reward, and my Oppressor will get his"". Hymn singing while working was common, and the Doxology was a particular favourite.",0.6666666666666666
