text_id,human_text,human_acc
1,"For those who manipulate the story, may your careers be extremely difficult until you tell the truth... This is not about your ratings, this is about a tragic loss... The citizens are not arming themselves against the police, there is no war between us and you cannot create one!",1.0
2,"Your actions let us know that they, that these officers, did not die in vain. That the people, that they were there to serve, were the ones that helped them in the end. The ""brave man"" he was thanking was Clarence Ellis, who had used his own coat to tamponade the arterial blood spurting from Sergeant Mark Dunakin's neck.",0.6666666666666666
3,"Wilson later said that Knott ""was a friend of mine who wasn't a songwriter but he contributed a couple of lines. But I can't remember which ones!""",1.0
4,"Grunge was in and, you know what, that's OK, 'cause music needs to do that. It needs to change all the time. That's how it stays fresh. Alias is still Steve and I. Alias will always be Steve and I. Steve and I will do a record tomorrow if the fans need one!",1.0
5,"Of the same recording, the review in American Record Guide was less effusive: ""Not my favorite reading, but a good one!"" Mike D. Brownell criticized Cooke's playing for allmusic.com, claiming that Cooke ""gets carried away musically....""",0.5
6,"The 18 minute short contained a sequence with singer Connie Boswell performing ""I Can't Give You Anything But Love"", with Carter providing accompaniment on the Hammond organ. When, at age 90, he was asked about the making of this short and if there had been any further film appearances, he responded (with mock incredulity), ""I don't remember making THIS one!""",0.3333333333333333
7,"Schauman left the shooting range, satisfied with his ability to hit the target with his Browning FN M1900. Ellman asked him why he had chosen such a peculiar target, to which Schauman replied: ""An enemy that stays still when being shot is not a good one!""",1.0
8,"The real significance of that was that when he came back to the pits he told me what happened and said ""I'm sure that the wall moved!"" And even though I've heard every excuse every driver has ever made, I certainly hadn't heard of that one! But Ayrton being Ayrton, with his incredible belief in himself, the absolute conviction, he then talked me into going with him after the race to have a look at the place where he had crashed.",1.0
9,"Boris's attempts at killing ""moose and squirrel"" (as he refers to them) also always end in failure, usually by his own scheme backfiring on him. ""Of course, I've got plan!"" he says. ""I've always got plan! They don't ever work, but I've always got one!"" As Boris expresses his plight in one promo: ""I send in lady spy with package which is really bomb. Door gets locked, she can't get out, who gets blown up? Me!""",1.0
10,"In 2014 she released ""The Funambulist"" (Ugly Cat Music), a concept album about life in between two continents and cultures. ""The Funambulist"" was enthusiastically received by audience and critics. Dave Marsh said about her: “The best and scariest thing about Giulia Millanta is not just that she is truly a tightrope walker herself but that she continually pulls you out there with her... with melodies, singing, stories, imagery. No matter what language her lyrics may be in... and I’ve lost count of how many her lyrics use here... she’s always understandable because her music is, like any fine art, universally recognizable. I can’t wait for her next one!”",1.0
11,"A request to repeat a performance, as in Encore!, lit. 'again'; also used to describe additional songs played at the end of a gig. Francophones would say «Une autre!» ('Another one!') or «Bis!» to request «un rappel» or «un bis».",0.6666666666666666
12,"(Intransitive, ""to be robbed"") Used humorously in exclamations when a shot that looks like it would work did not, as in ""Oh! You got robbed on that one!""",1.0
13,"In 1985, he appeared in the rock music band Marillion's music video for its single release ""Heart of Lothian"", in which he played a barman, and starred in a popular TV commercial for McVitie's rich tea biscuits as ""Jacko"", saying, ""Yeah, I'll make a statement. A drink's too wet without one!""",1.0
14,"It can also be an alternative to owning multiple cars for households with more than one driver. A long-term study of City CarShare members found that 30 percent of households that joined sold a car; others delayed purchasing one. Transit use, bicycling, and walking also increased among members.",1.0
15,"By June 1982, Gorgon had sold 23,000 copies, making it one of the best-selling computer games at the time. Bill Kunkel of Electronic Games called the game ""another winner from ace designer Nasir"" and ""fine home version"" of Defender, only criticizing the Apple II's lack of joystick support at the time. BYTE stated that Gorgon ""is well programmed and much more enjoyable than the arcade version [and] should provide many hours of enjoyment ... Rest assured that you Nasir Gebelli fans will not be disappointed by this one!""",1.0
16,"Clifford's special blue blanket is falling apart, so it's time for a new one!",1.0
17,Emily Elizabeth decides to help Clifford by making him a new blanket to replace his old one.,1.0
